,latitude,longitude,brightness,scan,track,date,confidence,bright_t31,frp,daynight,type,datetime,temperature,humidity,rain,stat_lat,stat_long,time_difference,new_latitude,new_longitude,new_time_difference,new_date,final_date
3892,13.878372,101.093636,367,0.42,0.61,1447718400,0,294.03,9.02,0,0,17/11/2015 5:48,28.0927112,74.8910155,0.15483871,13.8703616,101.145728,20880,13.85968,101.1546,25831.51,1447744231.51,2015-11-17 07:10:31.509999872
3893,16.546961,102.953926,367,0.36,0.58,1577232000,0,301.28,68.85,0,0,25/12/2019 5:42,22.5,75.1,0.0,16.529016,102.9060032,20520,16.559502,102.95191,20749.918,1577252749.918,2019-12-25 05:45:49.917999872
3894,14.89432,100.168938,367,0.49,0.65,1390176000,0,295.73,12.9,0,0,20/1/2014 7:18,18.6,76.0,0.0,15.0498384,100.157408,26280,15.0191765,100.149864,26016.12,1390202016.12,2014-01-20 07:13:36.120000000
3895,16.486927,103.991669,367,0.39,0.44,1549065600,0,306.38,24.95,0,0,2/2/2019 5:54,24.1,63.0,0.15483871,16.3681664,104.0577856,21240,16.396008,104.0612,21120.773,1549086720.773,2019-02-02 05:52:00.772999936
3896,19.328911,98.641998,367,0.38,0.59,1330646400,0,306.17,23.09,0,0,2/3/2012 5:54,28.0927112,74.8910155,0.15483871,19.37388,98.4396864,21240,19.362291,98.569565,21832.305,1330668232.305,2012-03-02 06:03:52.305000192
3897,14.592887,101.962257,367,0.36,0.58,1328832000,0,301.51,12.05,0,0,10/2/2012 5:48,26.5,87.0,0.0,14.5379248,101.9694016,20880,14.538969,101.89502,21863.55,1328853863.55,2012-02-10 06:04:23.549999872
3898,15.113226,101.678253,367,0.46,0.47,1458259200,0,312.69,13.8,0,0,18/3/2016 6:00,27.9,66.0,0.0,15.0505808,101.662208,21600,15.017157,101.59727,22365.572,1458281565.572,2016-03-18 06:12:45.572000000
3899,16.142672,103.557724,367,0.33,0.55,1548201600,0,308.91,11.27,0,0,23/1/2019 5:42,28.0927112,74.8910155,0.0,16.2001728,103.4735296,20520,16.22269,103.534615,21587.934,1548223187.934,2019-01-23 05:59:47.934000128
3900,15.028195,99.678322,367,0.61,0.54,1487289600,0,308.48,11.91,0,0,17/2/2017 6:00,19.6,82.0,0.15483871,15.0826544,99.5193216,21600,15.071108,99.67494,21858.54,1487311458.54,2017-02-17 06:04:18.540000000
3901,15.197939,102.967537,367,0.61,0.71,1395273600,0,294.37,15.75,0,0,20/3/2014 5:36,26.95,72.0,0.15483871,15.1816224,102.8444416,20160,15.209721,102.91264,21211.355,1395294811.355,2014-03-20 05:53:31.355000064
3902,14.229044,99.632927,367,0.44,0.62,1329350400,0,304.93,16.85,0,0,16/2/2012 7:18,27.0,86.0,0.15483871,14.3044736,99.5088704,26280,14.354358,99.47082,25122.404,1329375522.404,2012-02-16 06:58:42.404000000
3903,17.674377,98.370064,367,0.39,0.36,1330905600,0,343.95,111.26,0,0,5/3/2012 6:36,34.8,30.0,0.0,17.7979744,98.34144,23760,17.742785,98.27845,23898.088,1330929498.088,2012-03-05 06:38:18.088000000
3904,17.19763,101.300827,367,0.38,0.59,1556582400,0,303.94,10.3,0,0,30/4/2019 7:06,28.0927112,74.8910155,0.15483871,17.0035088,101.3660352,25560,17.077234,101.38098,25504.89,1556607904.89,2019-04-30 07:05:04.890000128
3905,16.195381,104.874268,367,0.35,0.57,1428883200,0,300.46,6.0,0,0,13/4/2015 5:42,21.6,71.0,0.0,16.3184,104.918944,20520,16.28141,104.8952,21832.898,1428905032.898,2015-04-13 06:03:52.898000128
3906,18.896894,98.386703,367,0.51,0.66,1426982400,0,306.85,45.36,0,0,22/3/2015 5:54,28.0927112,74.8910155,0.15483871,19.0012208,98.2711616,21240,19.036303,98.31658,26025.209,1427008425.209,2015-03-22 07:13:45.209000192
3907,15.696601,98.899506,367,0.49,0.4,1330387200,0,310.88,14.68,0,0,28/2/2012 6:48,28.0927112,74.8910155,0.15483871,15.8148928,98.8788736,24480,15.76322,98.84834,24534.887,1330411734.887,2012-02-28 06:48:54.887000064
3908,18.562265,100.438644,367,0.35,0.57,1586995200,0,298.7,14.26,0,0,16/4/2020 7:06,26.95,67.5,0.0,18.37017,100.39559,25560,18.433094,100.419464,26128.477,1587021328.477,2020-04-16 07:15:28.476999936
3909,16.608887,102.506821,367,0.77,0.77,1552435200,0,307.43,26.2,0,0,13/3/2019 5:24,28.0927112,74.8910155,0.15483871,16.6387104,102.4205952,19440,16.607939,102.42094,25312.926,1552460512.926,2019-03-13 07:01:52.926000128
3910,15.947393,101.979668,367,0.35,0.57,1645920000,0,293.6,7.18,1,0,27/2/2022 18:06,20.8,67.5,0.15483871,15.9844608,102.037728,65160,15.97598,102.034004,26204.69,1645946204.69,2022-02-27 07:16:44.690000128
3911,16.432438,100.556465,367,0.34,0.56,1481932800,0,295.94,8.98,0,0,17/12/2016 7:06,23.0,82.0,0.15483871,16.4061392,100.5386624,25560,16.396015,100.52744,25484.059,1481958284.059,2016-12-17 07:04:44.059000064
3912,15.708546,100.673347,367,0.42,0.61,1417392000,0,297.01,11.63,0,0,1/12/2014 7:18,25.5,83.0,0.15483871,15.6001296,100.6572224,26280,15.626351,100.68428,26095.28,1417418095.28,2014-12-01 07:14:55.280000000
